143	36	161	1
143	36	128	1
143	36	88	1
143	36	157	1
143	36	148	1
143	36	80	1
143	36	155	1
143	36	143	1
143	36	8	1
151	45	80	1
151	45	154	1
151	45	8	1
133	54	80	1
133	54	156	1
133	54	35	1
133	54	62	1
133	54	12	1
133	54	149	1
133	54	55	1
133	54	150	1
133	54	47	1
133	54	139	1
133	54	13	1
94	54	80	1
94	54	156	1
94	54	35	1
94	54	62	1
94	54	12	1
94	54	149	1
94	54	55	1
94	54	150	1
94	54	47	1
94	54	139	1
94	54	13	1
159	45	80	1
159	45	154	1
159	45	8	1
155	36	161	1
155	36	128	1
155	36	88	1
155	36	157	1
155	36	148	1
155	36	80	1
155	36	155	1
155	36	143	1
155	36	8	1
172	28	132	1
172	28	17	1
172	28	8	1
172	28	70	1
172	28	128	1
172	28	69	1
172	28	100	1
172	28	97	1
172	28	76	1
172	28	139	1
172	2	100	1
172	2	128	1
172	2	69	1
172	2	30	1
172	2	107	1
172	2	42	1
172	37	63	1
172	37	60	1
172	37	128	1
172	37	88	1
172	37	90	1
172	37	82	1
172	37	110	1
172	37	136	1
172	37	35	1
172	37	137	1
172	37	92	1
172	37	36	1
172	37	3	1
6	28	132	1
6	28	17	1
6	28	8	1
6	28	70	1
6	28	128	1
6	28	69	1
6	28	100	1
6	28	97	1
6	28	76	1
6	28	139	1
6	2	100	1
6	2	128	1
6	2	69	1
6	2	30	1
6	2	107	1
6	2	42	1
6	37	63	1
6	37	60	1
6	37	128	1
6	37	88	1
6	37	90	1
6	37	82	1
6	37	110	1
6	37	136	1
6	37	35	1
6	37	137	1
6	37	92	1
6	37	36	1
6	37	3	1
21	54	80	1
21	54	156	1
21	54	35	1
21	54	62	1
21	54	12	1
21	54	149	1
21	54	55	1
21	54	150	1
21	54	47	1
21	54	139	1
21	54	13	1
239	45	80	1
239	45	154	1
239	45	8	1
182	36	161	1
182	36	128	1
182	36	88	1
182	36	157	1
182	36	148	1
182	36	80	1
182	36	155	1
182	36	143	1
182	36	8	1
128	36	161	1
128	36	128	1
128	36	88	1
128	36	157	1
128	36	148	1
128	36	80	1
128	36	155	1
128	36	143	1
128	36	8	1
93	36	161	1
93	36	128	1
93	36	88	1
93	36	157	1
93	36	148	1
93	36	80	1
93	36	155	1
93	36	143	1
93	36	8	1
15	19	94	1
15	19	8	1
87	36	161	1
87	36	128	1
87	36	88	1
87	36	157	1
87	36	148	1
87	36	80	1
87	36	155	1
87	36	143	1
87	36	8	1
65	36	161	1
65	36	128	1
65	36	88	1
65	36	157	1
65	36	148	1
65	36	80	1
65	36	155	1
65	36	143	1
65	36	8	1
89	19	94	1
89	19	8	1
217	56	74	1
217	56	99	1
43	23	163	1
43	23	80	1
43	23	14	1
228	54	80	1
228	54	156	1
228	54	35	1
228	54	62	1
228	54	12	1
228	54	149	1
228	54	55	1
228	54	150	1
228	54	47	1
228	54	139	1
228	54	13	1
216	37	63	1
216	37	60	1
216	37	128	1
216	37	88	1
216	37	90	1
216	37	82	1
216	37	110	1
216	37	136	1
216	37	35	1
216	37	137	1
216	37	92	1
216	37	36	1
216	37	3	1
23	15	57	1
74	29	80	1
74	29	8	1
226	13	78	1
226	13	76	1
226	13	97	1
184	41	18	1
184	41	74	1
184	41	72	1
184	41	9	1
184	41	37	1
184	41	83	1
184	41	80	1
184	41	30	1
184	41	137	1
184	41	128	1
184	41	100	1
184	41	8	1
184	22	8	1
220	9	161	1
220	9	157	1
220	9	1	1
220	9	78	1
220	9	9	1
220	9	61	1
220	9	101	1
220	22	8	1
46	20	152	1
16	54	80	1
16	54	156	1
16	54	35	1
16	54	62	1
16	54	12	1
16	54	149	1
16	54	55	1
16	54	150	1
16	54	47	1
16	54	139	1
16	54	13	1
185	45	80	1
185	45	154	1
185	45	8	1
130	37	63	1
130	37	60	1
130	37	128	1
130	37	88	1
130	37	90	1
130	37	82	1
130	37	110	1
130	37	136	1
130	37	35	1
130	37	137	1
130	37	92	1
130	37	36	1
130	37	3	1
259	53	18	1
259	0	161	1
259	0	128	1
259	0	4	1
259	0	8	1
259	0	38	1
259	0	149	1
259	0	92	1
259	0	126	1
259	0	62	1
259	0	146	1
